Day, Date old,Month,Day,Year,Concatenate,DATE, Time
Friday, 9 June 1922,6,9,1922,6/9/1922,6/9/1922, 04:57:36 pm
Sunday, 9 July 1922,7,9,1922,7/9/1922,7/9/1922, 04:06:54 am
Monday, 7 August 1922,8,7,1922,8/7/1922,8/7/1922, 05:18:24 pm
Wednesday, 6 September 1922,9,6,1922,9/6/1922,9/6/1922, 08:46:54 am
Friday, 6 October 1922,10,6,1922,10/6/1922,10/6/1922, 01:58:00 am
Saturday, 4 November 1922,11,4,1922,11/4/1922,11/4/1922, 07:36:12 pm
Monday, 4 December 1922,12,4,1922,12/4/1922,12/4/1922, 12:23:18 pm
Wednesday, 3 January 1923,1,3,1923,1/3/1923,1/3/1923, 03:33:12 am
Thursday, 1 February 1923,2,1,1923,2/1/1923,2/1/1923, 04:53:00 pm
Saturday, 3 March 1923,3,3,1923,3/3/1923,3/3/1923, 04:23:24 am
Sunday, 1 April 1923,4,1,1923,4/1/1923,4/1/1923, 02:09:36 pm
Monday, 30 April 1923,4,30,1923,4/30/1923,4/30/1923, 10:30:06 pm
Wednesday, 30 May 1923,5,30,1923,5/30/1923,5/30/1923, 06:07:00 am
Thursday, 28 June 1923,6,28,1923,6/28/1923,6/28/1923, 02:04:06 pm
Friday, 27 July 1923,7,27,1923,7/27/1923,7/27/1923, 11:32:24 pm
Sunday, 26 August 1923,8,26,1923,8/26/1923,8/26/1923, 11:29:12 am
Tuesday, 25 September 1923,9,25,1923,9/25/1923,9/25/1923, 02:15:36 am
Wednesday, 24 October 1923,10,24,1923,10/24/1923,10/24/1923, 07:26:06 pm
Friday, 23 November 1923,11,23,1923,11/23/1923,11/23/1923, 01:57:42 pm
Sunday, 23 December 1923,12,23,1923,12/23/1923,12/23/1923, 08:32:54 am
Tuesday, 22 January 1924,1,22,1924,1/22/1924,1/22/1924, 01:56:36 am
Wednesday, 20 February 1924,2,20,1924,2/20/1924,2/20/1924, 05:07:00 pm
Friday, 21 March 1924,3,21,1924,3/21/1924,3/21/1924, 05:29:54 am
Saturday, 19 April 1924,4,19,1924,4/19/1924,4/19/1924, 03:10:30 pm
